,배우명,드라마명,역할,성별,장르,방영요일,방송사,나이,방영년도,가중평점,결혼여부
1296,이원근,추리의 여왕,조연,남자,"['comedy', 'thriller', 'action', 'drama']","['wednesday', ' thursday']",['KBS2'],27,2017,7.86,미혼
1297,이원근,굿 와이프,조연,남자,"['romance', 'drama', 'society']","['friday', ' saturday']",['TVN'],26,2016,7.77,미혼
1298,김하늘,킬힐,주연,여자,"['thriller', 'drama']","['wednesday', ' thursday']",['TVN'],45,2022,7.69,기혼
1299,김하늘,18 어게인,주연,여자,"['drama', 'sf', 'romance']","['monday', ' tuesday']",['JTBC'],43,2020,8.42,기혼
1300,김하늘,바람이 분다,주연,여자,"['drama', 'romance']","['monday', ' tuesday']",['JTBC'],42,2019,7.71,기혼
1301,김하늘,공항 가는 길,주연,여자,"['drama', 'romance']","['wednesday', ' thursday']",['KBS2'],39,2016,7.73,기혼
1302,문지인,킬힐,조연,여자,"['thriller', 'drama']","['wednesday', ' thursday']",['TVN'],37,2022,7.69,미혼
1303,문지인,타임즈,조연,여자,"['thriller', 'society', 'sf']","['saturday', ' sunday']",['OCN'],36,2021,7.7,미혼
1304,문지인,뷰티 인사이드,조연,여자,"['sf', 'comedy', 'romance']","['monday', ' tuesday']",['JTBC'],33,2018,8.23,미혼
1305,김재욱,크레이지 러브,주연,남자,"['drama', 'comedy', 'romance']","['monday', ' tuesday']",['KBS2'],40,2022,8.01,미혼
1306,김재욱,그녀의 사생활,주연,남자,"['comedy', 'romance']","['wednesday', ' thursday']",['TVN'],37,2019,8.29,미혼
1307,김재욱,손 the guest,주연,남자,"['thriller', 'sf']","['wednesday', ' thursday']",['OCN'],36,2018,8.25,미혼
1308,김재욱,사랑의 온도,주연,남자,"['food', 'comedy', 'romance', 'drama']","['monday', ' tuesday']",['SBS'],35,2017,7.65,미혼
1309,김재욱,보이스,조연,남자,['thriller'],"['saturday', ' sunday']",['OCN'],35,2017,8.21,미혼
1310,정수정,크레이지 러브,주연,여자,"['drama', 'comedy', 'romance']","['monday', ' tuesday']",['KBS2'],29,2022,8.01,미혼
1311,정수정,경찰수업,주연,여자,"['drama', 'thriller', 'comedy', 'romance']","['monday', ' tuesday']",['KBS2'],28,2021,7.79,미혼
1312,정수정,써치,주연,여자,"['thriller', 'hist_war']","['saturday', ' sunday']",['OCN'],27,2020,7.9,미혼
1313,정수정,플레이어,주연,여자,"['comedy', 'thriller', 'action']","['saturday', ' sunday']",['OCN'],25,2018,7.98,미혼
1314,정수정,슬기로운 감빵생활,조연,여자,"['thriller', 'comedy', 'drama']","['wednesday', ' thursday']","['NETFLIX', ' TVN']",24,2017,8.64,미혼
1315,정수정,하백의 신부,주연,여자,"['drama', 'sf', 'comedy', 'romance']","['monday', ' tuesday']",['TVN'],24,2017,7.46,미혼
1316,조보아,군검사 도베르만,주연,여자,"['thriller', 'action', 'hist_war', 'society']","['monday', ' tuesday']",['TVN'],32,2022,7.96,미혼
1317,조보아,포레스트,주연,여자,"['romance', 'thriller', 'society']","['wednesday', ' thursday']",['KBS2'],30,2020,7.78,미혼
1318,조보아,복수가 돌아왔다,주연,여자,"['thriller', 'youth', 'comedy', 'romance']","['monday', ' tuesday']",['SBS'],28,2018,7.95,미혼
1319,조보아,이별이 떠났다,주연,여자,"['drama', 'romance']",['saturday'],['MBC'],28,2018,7.73,미혼
1320,조보아,사랑의 온도,주연,여자,"['food', 'comedy', 'romance', 'drama']","['monday', ' tuesday']",['SBS'],27,2017,7.65,미혼
1321,조보아,우리 집에 사는 남자,주연,여자,"['drama', 'comedy', 'romance']","['monday', ' tuesday']",['KBS2'],26,2016,7.57,미혼
1322,오연수,군검사 도베르만,주연,여자,"['thriller', 'action', 'hist_war', 'society']","['monday', ' tuesday']",['TVN'],52,2022,7.96,기혼
1323,박주미,결혼작사 이혼작곡,주연,여자,"['drama', 'thriller', 'romance']","['saturday', ' sunday']","['NETFLIX', ' TV CHOSUN']",50,2021,7.53,기혼
1324,이지훈,스폰서,주연,남자,"['drama', 'thriller', 'romance']","['wednesday', ' thursday']","['MBN', ' VIKI']",35,2022,7.66,미혼
1325,이지훈,달이 뜨는 강,주연,남자,"['romance', 'action', 'hist_war', 'society']","['monday', ' tuesday']","['KBS2', ' VIKI', ' VIUTV']",34,2021,7.76,미혼
1326,이지훈,저녁 같이 드실래요?,주연,남자,"['drama', 'comedy', 'romance']","['monday', ' tuesday']","['IQIYI', ' MBC']",33,2020,7.83,미혼
1327,이지훈,99억의 여자,주연,남자,"['thriller', 'drama']","['wednesday', ' thursday']",['KBS2'],32,2019,7.69,미혼
1328,이지훈,사의 찬미,조연,남자,"['romance', 'hist_war', 'music']","['monday', ' tuesday']","['NETFLIX', ' SBS']",31,2018,8.06,미혼
1329,이지훈,당신의 하우스헬퍼,주연,남자,"['romance', 'comedy', 'youth', 'drama']","['wednesday', ' thursday']",['KBS2'],31,2018,7.76,미혼
1330,이지훈,언니는 살아있다,주연,남자,"['drama', 'romance']",['saturday'],['SBS'],30,2017,7.7,미혼
1331,한채영,스폰서,주연,여자,"['drama', 'thriller', 'romance']","['wednesday', ' thursday']","['MBN', ' VIKI']",43,2022,7.66,기혼
1332,한채영,신과의 약속,주연,여자,"['drama', 'romance']",['saturday'],['MBC'],39,2018,7.7,기혼
1333,김윤서,스폰서,조연,여자,"['drama', 'thriller', 'romance']","['wednesday', ' thursday']","['MBN', ' VIKI']",37,2022,7.66,미혼
1334,김윤서,여자의 비밀,주연,여자,"['romance', 'drama']","['monday', ' tuesday', ' wednesday', ' thursday', ' friday']",['KBS2'],31,2016,7.7,미혼
1335,고아성,트레이서,주연,여자,"['thriller', 'action', 'drama']","['friday', ' saturday']",['MBC'],31,2022,7.71,미혼
1336,고아성,라이프 온 마스,주연,여자,"['comedy', 'thriller', 'action']","['saturday', ' sunday']",['OCN'],27,2018,8.26,미혼
1337,고아성,자체발광 오피스,주연,여자,"['romance', 'comedy', 'society', 'drama']","['wednesday', ' thursday']",['MBC'],26,2017,7.67,미혼
1338,고아성,풍문으로 들었소,주연,여자,"['drama', 'comedy', 'romance']","['monday', ' tuesday']",['SBS'],24,2015,7.7,미혼
